         1148739 function calls (1092611 primitive calls) in 1.943 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  293/185    0.002    0.000    0.116    0.001 /usr/lib/python3.8/functools.py:947(__get__)
       80    0.001    0.000    0.113    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:699(__call__)
      823    0.004    0.000    0.102    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:349(apply)
      170    0.001    0.000    0.100    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:1051(__init__)
      166    0.002    0.000    0.097    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:1097(_init_once)
        3    0.000    0.000    0.096    0.032 /home/seb/.local/lib/python3.8/site-packages/numba/core/callwrapper.py:102(build)
        3    0.001    0.000    0.095    0.032 /home/seb/.local/lib/python3.8/site-packages/numba/core/callwrapper.py:127(build_wrapper)
      170    0.002    0.000    0.093    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:907(_get_target_registry)
36980/6614    0.067    0.000    0.083    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/ir.py:313(_rec_list_vars)
     1826    0.057    0.000    0.079    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/instructions.py:13(__init__)
        4    0.000    0.000    0.079    0.020 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:782(_finalize_final_module)
     5492    0.007    0.000    0.077    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/ir.py:346(list_vars)
19266/18850    0.022    0.000    0.076    0.000 {built-in method builtins.next}
       44    0.016    0.000    0.071    0.002 /home/seb/.local/lib/python3.8/site-packages/numba/core/analysis.py:23(compute_use_defs)
        6    0.000    0.000    0.070    0.012 /home/seb/.local/lib/python3.8/site-packages/numba/core/callwrapper.py:21(add_arg)
       34    0.000    0.000    0.066    0.002 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/module.py:233(__repr__)
     10/6    0.000    0.000    0.066    0.011 /home/seb/.local/lib/python3.8/site-packages/numba/core/pythonapi.py:1387(to_native_value)
       34    0.000    0.000    0.065    0.002 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
       34    0.000    0.000    0.064    0.002 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/module.py:212(<listcomp>)
       40    0.000    0.000    0.063    0.002 /home/seb/.local/lib/python3.8/site-packages/numba/core/postproc.py:41(usedefs)
       82    0.000    0.000    0.061    0.001 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:1000(__str__)
       82    0.000    0.000    0.061    0.001 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:993(descr)
12836/6973    0.016    0.000    0.059    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.058    0.014 /home/seb/.local/lib/python3.8/site-packages/numba/core/untyped_passes.py:79(run_pass)
        4    0.001    0.000    0.058    0.014 /home/seb/.local/lib/python3.8/site-packages/numba/core/interpreter.py:336(interpret)
        1    0.001    0.001    0.057    0.057 /home/seb/.local/lib/python3.8/site-packages/numba/np/arraymath.py:1(<module>)
        7    0.000    0.000    0.056    0.008 /home/seb/.local/lib/python3.8/site-packages/numba/core/boxing.py:46(unbox_integer)
      187    0.003    0.000    0.055    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:700(load_additional_registries)
   219661    0.039    0.000    0.054    0.000 {built-in method builtins.isinstance}
7000/2979    0.008    0.000    0.054    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/_utils.py:44(__str__)
        8    0.004    0.000    0.053    0.007 /home/seb/.local/lib/python3.8/site-packages/numba/core/rewrites/registry.py:54(apply)
        9    0.000    0.000    0.053    0.006 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:986(descr_body)
      229    0.001    0.000    0.053    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:1129(descr)
      119    0.001    0.000    0.053    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/builder.py:568(_icmp)
      129    0.001    0.000    0.052    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/instructions.py:323(__init__)
      229    0.001    0.000    0.051    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:1131(<listcomp>)
       58    0.000    0.000    0.051    0.001 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/builder.py:588(icmp_unsigned)
        4    0.000    0.000    0.050    0.013 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:997(_finalize_specific)
       20    0.000    0.000    0.050    0.003 /home/seb/.local/lib/python3.8/site-packages/numba/core/cgutils.py:455(is_not_null)
        7    0.000    0.000    0.050    0.007 /home/seb/.local/lib/python3.8/site-packages/numba/core/pythonapi.py:1384(c_api_error)
        4    0.000    0.000    0.049    0.012 /home/seb/.local/lib/python3.8/site-packages/numba/core/typed_passes.py:221(run_pass)
     1464    0.011    0.000    0.048    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:360(install_registry)
      732    0.007    0.000    0.047    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/extending.py:127(decorate)
     1929    0.007    0.000    0.046    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:544(_to_string)
      174    0.001    0.000    0.045    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/npydecl.py:202(generic)
        4    0.000    0.000    0.045    0.011 /home/seb/.local/lib/python3.8/site-packages/numba/core/untyped_passes.py:1694(run_pass)
        1    0.000    0.000    0.044    0.044 /home/seb/.local/lib/python3.8/site-packages/numba/cpython/charseq.py:1(<module>)
        9    0.000    0.000    0.044    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:733(add_llvm_module)
      192    0.001    0.000    0.044    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:607(generic)
      192    0.002    0.000    0.043    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:698(_get_impl)
        4    0.000    0.000    0.042    0.011 /home/seb/.local/lib/python3.8/site-packages/numba/core/untyped_passes.py:192(run_pass)
      176    0.004    0.000    0.042    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/npydecl.py:98(generic)
    16492    0.005    0.000    0.042    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:1307(new_registrations)
        1    0.000    0.000    0.041    0.041 /home/seb/.local/lib/python3.8/site-packages/numba/np/arraymath.py:36(_check_blas)
        1    0.000    0.000    0.041    0.041 /home/seb/.local/lib/python3.8/site-packages/numba/np/linalg.py:54(ensure_blas)
      252    0.002    0.000    0.041    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:374(resolve_value_type)
     3706    0.013    0.000    0.041    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/event.py:193(broadcast)
        9    0.002    0.000    0.041    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:652(_optimize_functions)
        1    0.000    0.000    0.041    0.041 /home/seb/.local/lib/python3.8/site-packages/scipy/linalg/__init__.py:1(<module>)
